Offer                                 Publisher         Sku                                                 Urn                                                                                                   Version
secured-cakephp-on-centos             cognosys          new-secured-cakephp-on-centos-ent-lic               cognosys:secured-cakephp-on-centos:new-secured-cakephp-on-centos-ent-lic:1.2.0                        1.2.0
secured-cakephp-on-centos             cognosys          new-secured-cakephp-on-centos-pro-lic               cognosys:secured-cakephp-on-centos:new-secured-cakephp-on-centos-pro-lic:1.2.0                        1.2.0
secured-cakephp-on-centos             cognosys          secured-cakephp-on-centos                           cognosys:secured-cakephp-on-centos:secured-cakephp-on-centos:1.2.0                                    1.2.0
CentOS-HPC                            OpenLogic         6.5                                                 OpenLogic:CentOS-HPC:6.5:6.5.20160408                                                                 6.5.20160408
CentOS-HPC                            OpenLogic         7.1                                                 OpenLogic:CentOS-HPC:7.1:7.1.20160408                                                                 7.1.20160408
secured-cms-made-simple-on-centos     cognosys          secured-cms-made-simple-on-centos                   cognosys:secured-cms-made-simple-on-centos:secured-cms-made-simple-on-centos:1.0.0                    1.0.0
secured-cms-made-simple-on-centos     cognosys          secured-cms-made-simple-on-centos                   cognosys:secured-cms-made-simple-on-centos:secured-cms-made-simple-on-centos:1.1.0                    1.1.0
secured-codiad-on-centos              cognosys          secured-codiad-on-centos                            cognosys:secured-codiad-on-centos:secured-codiad-on-centos:1.0.0                                      1.0.0
secured-cogdam-on-centos              cognosys          secured-cogdam-on-centos-basic-lic                  cognosys:secured-cogdam-on-centos:secured-cogdam-on-centos-basic-lic:1.0.0                            1.0.0
secured-cogdam-on-centos              cognosys          secured-cogdam-on-centos-professional-lic           cognosys:secured-cogdam-on-centos:secured-cogdam-on-centos-professional-lic:1.0.0                     1.0.0
secured-cogdam-on-centos              cognosys          secured-cogdam-on-enterprise-lic                    cognosys:secured-cogdam-on-centos:secured-cogdam-on-enterprise-lic:1.0.0                              1.0.0
secured-concrete5-on-centos           cognosys          secured-concrete5-on-centos                         cognosys:secured-concrete5-on-centos:secured-concrete5-on-centos:1.0.0                                1.0.0
secured-coppermine-on-centos          cognosys          secured-coppermine-on-centos                        cognosys:secured-coppermine-on-centos:secured-coppermine-on-centos:1.0.0                              1.0.0
secured-coppermine-on-centos          cognosys          secured-coppermine-on-centos                        cognosys:secured-coppermine-on-centos:secured-coppermine-on-centos:1.1.0                              1.1.0
secured-couchbase-server-on-centos    cognosys          new-secured-couchbase-server-on-centos-7-3          cognosys:secured-couchbase-server-on-centos:new-secured-couchbase-server-on-centos-7-3:1.2.0          1.2.0
secured-couchbase-server-on-centos    cognosys          new-secured-couchbase-server-on-centos-7-3-ent-lic  cognosys:secured-couchbase-server-on-centos:new-secured-couchbase-server-on-centos-7-3-ent-lic:1.2.0  1.2.0
secured-couchbase-server-on-centos    cognosys          new-secured-couchbase-server-on-centos-7-3-pro-lic  cognosys:secured-couchbase-server-on-centos:new-secured-couchbase-server-on-centos-7-3-pro-lic:1.2.0  1.2.0
secured-crushftp-on-centos            cognosys          new-secured-crushftp-on-centos-7-3                  cognosys:secured-crushftp-on-centos:new-secured-crushftp-on-centos-7-3:1.2.0                          1.2.0
secured-crushftp-on-centos            cognosys          new-secured-crushftp-on-centos-7-3-ent-lic          cognosys:secured-crushftp-on-centos:new-secured-crushftp-on-centos-7-3-ent-lic:1.2.0                  1.2.0
secured-crushftp-on-centos            cognosys          new-secured-crushftp-on-centos-7-3-pro-lic          cognosys:secured-crushftp-on-centos:new-secured-crushftp-on-centos-7-3-pro-lic:1.2.0                  1.2.0
secured-django-on-centos              cognosys          new-secured-django-on-centos-7-3-basic              cognosys:secured-django-on-centos:new-secured-django-on-centos-7-3-basic:1.2.0                        1.2.0
secured-django-on-centos              cognosys          new-secured-django-on-centos-7-3-ent                cognosys:secured-django-on-centos:new-secured-django-on-centos-7-3-ent:1.2.0                          1.2.0
secured-django-on-centos              cognosys          new-secured-django-on-centos-7-3-pro                cognosys:secured-django-on-centos:new-secured-django-on-centos-7-3-pro:1.2.0                          1.2.0
secured-dokuwiki-on-centos            cognosys          secured-dokuwiki-on-centos                          cognosys:secured-dokuwiki-on-centos:secured-dokuwiki-on-centos:1.0.0                                  1.0.0
secured-dolibarr-on-centos            cognosys          secured-dolibarr-on-centos                          cognosys:secured-dolibarr-on-centos:secured-dolibarr-on-centos:1.0.0                                  1.0.0
secured-drupal-on-centos              cognosys          new-secured-drupal-on-centos-pro-lic                cognosys:secured-drupal-on-centos:new-secured-drupal-on-centos-pro-lic:1.2.0                          1.2.0
secured-drupal-on-centos              cognosys          secured-drupal-on-centos                            cognosys:secured-drupal-on-centos:secured-drupal-on-centos:1.2.0                                      1.2.0
secured-drupal-on-centos              cognosys          secured-drupal-on-centos-ent-lic                    cognosys:secured-drupal-on-centos:secured-drupal-on-centos-ent-lic:1.2.0                              1.2.0
secured-elasticsearch-on-centos       cognosys          secured-elasticsearch-on-centos                     cognosys:secured-elasticsearch-on-centos:secured-elasticsearch-on-centos:1.0.0                        1.0.0
secured-espocrm-on-centos             cognosys          secured-espocrm-on-centos                           cognosys:secured-espocrm-on-centos:secured-espocrm-on-centos:1.0.0                                    1.0.0
secured-exoplatform-on-centos         cognosys          secured-exoplatform-on-centos                       cognosys:secured-exoplatform-on-centos:secured-exoplatform-on-centos:1.0.0                            1.0.0
secured-exoplatform-on-centos         cognosys          secured-exoplatform-on-centos                       cognosys:secured-exoplatform-on-centos:secured-exoplatform-on-centos:1.1.0                            1.1.0
secured-ghost-on-centos               cognosys          secured-ghost-on-centos                             cognosys:secured-ghost-on-centos:secured-ghost-on-centos:1.1.0                                        1.1.0
secured-gradle-on-centos              cognosys          secured-gradle-on-centos                            cognosys:secured-gradle-on-centos:secured-gradle-on-centos:1.1.0                                      1.1.0
secured-haproxy-on-centos             cognosys          new-secured-haproxy-on-centos-basic-lic             cognosys:secured-haproxy-on-centos:new-secured-haproxy-on-centos-basic-lic:1.2.0                      1.2.0
secured-haproxy-on-centos             cognosys          new-secured-haproxy-on-centos-enterprise-lic        cognosys:secured-haproxy-on-centos:new-secured-haproxy-on-centos-enterprise-lic:1.2.0                 1.2.0
secured-haproxy-on-centos             cognosys          new-secured-haproxy-on-centos-professional-lic      cognosys:secured-haproxy-on-centos:new-secured-haproxy-on-centos-professional-lic:1.2.0               1.2.0
secured-invoice-ninja-on-centos       cognosys          new-secured-invoice-ninja-on-centos-ent-lic         cognosys:secured-invoice-ninja-on-centos:new-secured-invoice-ninja-on-centos-ent-lic:1.2.0            1.2.0
secured-invoice-ninja-on-centos       cognosys          new-secured-invoice-ninja-on-centos-pro-lic         cognosys:secured-invoice-ninja-on-centos:new-secured-invoice-ninja-on-centos-pro-lic:1.2.0            1.2.0
secured-invoice-ninja-on-centos       cognosys          secured-invoice-ninja-on-centos                     cognosys:secured-invoice-ninja-on-centos:secured-invoice-ninja-on-centos:1.1.0                        1.1.0
secured-invoice-ninja-on-centos       cognosys          secured-invoice-ninja-on-centos                     cognosys:secured-invoice-ninja-on-centos:secured-invoice-ninja-on-centos:1.1.1                        1.1.1
secured-invoice-ninja-on-centos       cognosys          secured-invoice-ninja-on-centos                     cognosys:secured-invoice-ninja-on-centos:secured-invoice-ninja-on-centos:1.2.0                        1.2.0
secured-jboss-as-on-centos            cognosys          secured-jboss-as-on-centos                          cognosys:secured-jboss-as-on-centos:secured-jboss-as-on-centos:1.1.1                                  1.1.1
secured-jenkins-on-centos             cognosys          secured-jenkins-on-centos                           cognosys:secured-jenkins-on-centos:secured-jenkins-on-centos:1.1.0                                    1.1.0
secured-jenkins-on-centos             cognosys          secured-jenkins-on-centos                           cognosys:secured-jenkins-on-centos:secured-jenkins-on-centos:1.1.1                                    1.1.1
